iter	RMSE
0	0.2994173635
1	0.2931158073
2	0.2885013284
3	0.2840518283
4	0.2792842808
5	0.2753923229
6	0.2712823679
7	0.2662130277
8	0.2636376603
9	0.2618079877
10	0.2591890989
11	0.2554181521
12	0.2506934517
13	0.2482880696
14	0.2453340682
15	0.2416871764
16	0.2391433916
17	0.2347663703
18	0.2318570787
19	0.229020301
20	0.2267967918
21	0.2234232096
22	0.2206762987
23	0.2164424207
24	0.2134419527
25	0.2105924177
26	0.2083290853
27	0.2035382947
28	0.2016252303
29	0.1999093492
30	0.1978453117
31	0.195868186
32	0.1925179129
33	0.1897651119
34	0.1874501098
35	0.183976388
36	0.1820448875
37	0.1793597119
38	0.1763849949
39	0.1732329351
40	0.1709123627
41	0.1686918165
42	0.1673264367
43	0.1659891177
44	0.1639263562
45	0.1610573608
46	0.1587547069
47	0.1562207551
48	0.1544532895
49	0.1533766812
50	0.1510820265
51	0.1490852006
52	0.1465498082
53	0.1442773299
54	0.1424389356
55	0.1410310823
56	0.1398749294
57	0.1379199515
58	0.1356395879
59	0.1347079892
60	0.1333587882
61	0.1321482551
62	0.1310408668
63	0.1299045516
64	0.1285234154
65	0.1266015257
66	0.1247843386
67	0.1227105207
68	0.1217245782
69	0.1207954602
70	0.1200005026
71	0.1180525265
72	0.1171081751
73	0.1152811428
74	0.1143047182
75	0.1135119561
76	0.1117761515
77	0.1112270981
78	0.1091255136
79	0.1083187978
80	0.1076639827
81	0.1064218335
82	0.1054573098
83	0.1030663456
84	0.1012159392
85	0.09994470638
86	0.09942191836
87	0.09785804475
88	0.09705218338
89	0.09595336295
90	0.09438422433
91	0.09371509155
92	0.09228936926
93	0.09140247962
94	0.09027910049
95	0.08900746617
96	0.08735436919
97	0.0857543385
98	0.08526218515
99	0.08347828174
