iter	Passed	Remaining
0	149	14789
1	150	7393
2	152	4936
3	155	3733
4	157	3000
5	159	2494
6	162	2164
7	164	1888
8	165	1674
9	167	1505
10	167	1359
11	168	1236
12	171	1145
13	172	1059
14	173	983
15	174	916
16	175	856
17	176	803
18	177	756
19	178	712
20	179	673
21	179	637
22	181	607
23	182	577
24	183	549
25	184	524
26	185	501
27	186	478
28	186	457
29	187	437
30	188	418
31	188	401
32	189	384
33	190	368
34	190	354
35	191	340
36	192	326
37	192	314
38	194	303
39	194	292
40	195	281
41	196	271
42	197	261
43	197	251
44	198	242
45	198	233
46	199	225
47	200	216
48	200	208
49	201	201
50	201	193
51	202	186
52	203	180
53	203	173
54	204	167
55	205	161
56	205	155
57	206	149
58	207	144
59	208	138
60	208	133
61	209	128
62	210	123
63	210	118
64	211	113
65	212	109
66	212	104
67	213	100
68	213	96
69	214	91
70	214	87
71	215	83
72	216	80
73	217	76
74	217	72
75	218	69
76	219	65
77	219	61
78	220	58
79	221	55
80	221	52
81	222	48
82	223	45
83	224	42
84	225	39
85	225	36
86	226	33
87	227	30
88	227	28
89	228	25
90	228	22
91	229	19
92	230	17
93	231	14
94	232	12
95	232	9
96	233	7
97	234	4
98	234	2
99	235	0
